n_cities,instance,method,length,gap_percent,time_ms
5,0,Reference:exact_dp,19.82928263180194,0.0,0.21949998335912824
5,0,Attention:batch_greedy_mean,22.634122365645755,14.14493799864171,7.988500001374632
5,0,Attention:greedy_rollout,22.634122365645755,14.14493799864171,3.1074999715201557
5,0,PointerNet:batch_greedy_mean,27.907519655643362,40.73892724129944,7.7266000444069505
5,0,PointerNet:greedy_rollout,27.907519655643362,40.73892724129944,2.9674999532289803
5,0,POMO,19.82928263180194,0.0,3.4743999713100493
5,1,Reference:exact_dp,21.357170840829184,0.0,0.09440002031624317
5,1,Attention:batch_greedy_mean,36.54835029809772,71.12917516315915,1.709400035906583
5,1,Attention:greedy_rollout,36.54835029809772,71.12917516315915,1.665000047069043
5,1,PointerNet:batch_greedy_mean,27.746639343742515,29.91720462664643,1.9103999948129058
5,1,PointerNet:greedy_rollout,27.746639343742515,29.91720462664643,1.7632999806664884
5,1,POMO,21.357170840829188,1.663475797088566e-14,2.4222999927587807
5,2,Reference:exact_dp,24.393185284155088,0.0,0.12589996913447976
5,2,Attention:batch_greedy_mean,33.93260671355873,39.10691169799827,1.8654000014066696
5,2,Attention:greedy_rollout,33.93260671355873,39.10691169799827,1.8304999684914947
5,2,PointerNet:batch_greedy_mean,33.57416066883987,37.63746012558847,3.1778999837115407
5,2,PointerNet:greedy_rollout,33.57416066883987,37.63746012558847,2.772500040009618
5,2,POMO,24.393185284155088,0.0,3.2350000110454857
6,0,Reference:exact_dp,18.976175543834643,0.0,0.3281999961473048
6,0,Attention:batch_greedy_mean,28.675229235226407,51.111740977454154,2.986599982250482
6,0,Attention:greedy_rollout,28.675229235226407,51.111740977454154,2.931900031398982
6,0,PointerNet:batch_greedy_mean,22.919770957758974,20.781824055193276,3.8440999924205244
6,0,PointerNet:greedy_rollout,22.919770957758974,20.781824055193276,2.1840999834239483
6,0,POMO,20.402597681303014,7.516910529065041,2.47590005164966
6,1,Reference:exact_dp,21.995195585091942,0.0,0.20359997870400548
6,1,Attention:batch_greedy_mean,38.46326327518302,74.8712036971061,2.0613999804481864
6,1,Attention:greedy_rollout,38.46326327518302,74.8712036971061,2.302300010342151
6,1,PointerNet:batch_greedy_mean,31.522613312824422,43.3159036521141,3.2361000194214284
6,1,PointerNet:greedy_rollout,31.522613312824422,43.3159036521141,3.1765999738126993
6,1,POMO,22.1698518946912,0.7940657264154396,3.5549000022001565
6,2,Reference:exact_dp,20.25927707084889,0.0,0.32729998929426074
6,2,Attention:batch_greedy_mean,33.071149459148074,63.23953388610403,2.8753000078722835
6,2,Attention:greedy_rollout,33.071149459148074,63.23953388610403,2.945900021586567
6,2,PointerNet:batch_greedy_mean,24.420785025243006,20.54124606638664,2.490099985152483
6,2,PointerNet:greedy_rollout,24.420785025243006,20.54124606638664,3.0356000061146915
6,2,POMO,20.25927707084889,0.0,2.9845000244677067
