method,n_cities,entropy_pearson_r,entropy_p_value,entropy_r_ci_low,entropy_r_ci_high,logprob_gap_pearson_r,logprob_gap_p_value,logprob_gap_r_ci_low,logprob_gap_r_ci_high,sample_variance_pearson_r,sample_variance_p_value,sample_variance_r_ci_low,sample_variance_r_ci_high,count,gap_mean,gap_std,entropy_mean,entropy_std,logprob_gap_mean,logprob_gap_std,sample_length_variance_mean,sample_length_variance_std,sample_length_std_mean,sample_length_std_std,gap_sem,gap_ci95,entropy_sem,entropy_ci95,logprob_gap_sem,logprob_gap_ci95,sample_length_variance_sem,sample_length_variance_ci95,sample_length_std_sem,sample_length_std_ci95
Attention:batch_greedy_mean,5,-0.8412897476172131,0.36359371748431835,-0.8412897476172131,-0.8412897476172131,0.7207245279183009,0.48761854174448466,0.7207245279183009,0.7207245279183009,0.9035748166606752,0.2818665149135577,0.9035748166606752,0.9035748166606752,3,42.114766178445926,22.283459867982604,0.8049839695294697,0.01639901192090845,0.44519842241017943,0.03172160543933777,25.62640373068281,38.64568697113449,3.81680612888721,4.072786768019873,12.86536155325598,55.35518300564463,0.009467973946980377,0.040737403947667075,0.018314477439528756,0.07880083634814682,22.31209777580251,96.00120840030388,2.35142453686822,10.117363202230532
Attention:batch_greedy_mean,6,-0.8869720262950447,0.3056090548720685,-0.8869720262950447,-0.8869720262950447,0.9974665255014137,0.04532576277827486,0.9974665255014137,0.9974665255014137,-0.9992655819218204,0.024400199838536446,-0.9992655819218204,-0.9992655819218204,3,39.90684231744209,34.30395389590568,0.9267374409569634,0.07127009302253913,0.441477000476151,0.12922229435241078,8.303951681940585,10.376744942297416,2.265063040340004,2.1817794704872044,19.805397016069655,85.21574553390792,0.04114780739173264,0.17704472579504954,0.07460652642966542,0.32100597459574726,5.991016485747501,25.77726343605607,1.2596509645981868,5.419840661292767
Attention:greedy_rollout,5,-0.6556379676150896,0.5447995360555469,-0.6556379676150896,-0.6556379676150896,0.8231730788862942,0.38440328588413486,0.8231730788862942,0.8231730788862942,0.3201115805454786,0.7925591896051916,0.3201115805454786,0.3201115805454786,3,33.690282869104045,15.421716526858875,0.8191263119379678,0.12775449491583665,0.43841563053359506,0.3211975213312796,10.918301525405056,16.832528843738988,2.3773941362186792,2.810595661015142,8.903732188148073,38.30966760381871,0.07375909202984297,0.3173597586621128,0.18544347540365486,0.7978988756498749,9.718265059074845,41.81431968433902,1.6226981614702864,6.981906673923039
Attention:greedy_rollout,6,-0.8926093803946081,0.29774450760330257,-0.8926093803946081,-0.8926093803946081,0.9657748957647496,0.16703750889256627,0.9657748957647496,0.9657748957647496,-0.03223953415056361,0.9794721179891592,-0.03223953415056361,-0.03223953415056361,3,55.885104941752594,21.479580643316286,0.9368131160736084,0.07028814146321376,0.4617982348426064,0.07893932264174883,6.778169286221761,5.046269916101831,2.4921064059355373,0.9226930267294929,12.401241666498933,53.35823630798317,0.04058087739462496,0.17460542289544753,0.04557563917686041,0.19609614831196487,2.9134652944649027,12.535629402104387,0.5327170673616634,2.292096544039384
POMO,5,0.007495294744840763,0.9952283024864487,0.007495294744840763,0.007495294744840763,0.052951424007993284,0.9662743036454955,0.052951424007993284,0.052951424007993284,0.7561366004368946,0.4541690805456408,0.7561366004368946,0.7561366004368946,3,6.175847450756313e-15,1.0696881564504665e-14,0.6283826678991318,0.06337730172700372,0.6192650255885956,0.17823484206610268,3.1725813696975713,2.908038596312136,1.4469428276746656,1.272166158450861,6.175847450756314e-15,2.6572526892183613e-14,0.03659090221259773,0.15743794528707822,0.10290393404583482,0.44275989271878297,1.6789568663946333,7.223968344234949,0.7344854740355368,3.160235929781167
POMO,6,-0.8975385363495121,0.2907068700069191,-0.8975385363495121,-0.8975385363495121,0.9285736624582952,0.2420716049542151,0.9285736624582952,0.9285736624582952,0.6393914665830673,0.558372692788933,0.6393914665830673,0.6393914665830673,3,1.5941589736637047,2.7611643377273656,0.747416857878367,0.06309818350330894,0.6529183693749635,0.15730477393863618,1.2683070216947863,0.49371774199915425,1.109654348935165,0.23550238082892583,1.5941589736636894,6.859112459603673,0.03642975323101182,0.15674457718156987,0.09081995357828483,0.39076672117448413,0.2850480712469059,1.22646286184512,0.1359673629663781,0.5850203454168729
PointerNet:batch_greedy_mean,5,0.3390386610195721,0.7797965007360662,0.3390386610195721,0.3390386610195721,-0.9308527016162146,0.23813191060129774,-0.9308527016162146,-0.9308527016162146,-0.8457227351336543,0.35833940173417583,-0.8457227351336543,-0.8457227351336543,3,20.138271835447775,8.647846250837482,0.9574567874272665,3.756602553905804e-05,0.0065209916643939715,0.002722337193835977,12.777512317317893,19.116088209139203,2.828715129408282,2.6765321875445225,4.992836360831516,21.482440996857875,2.168875495735952e-05,9.331918072099366e-05,0.0015717421116861318,0.006762660487224713,11.03667867339915,47.486995620880045,1.545296578973528,6.64887454371056
PointerNet:batch_greedy_mean,6,-0.9848765586907402,0.11085857529738914,-0.9848765586907402,-0.9848765586907402,-0.5050617680865324,0.6629394138674385,-0.5050617680865324,-0.5050617680865324,0.9470870876946076,0.208022249350392,0.9470870876946076,0.9470870876946076,3,40.10177346823164,13.576246309062617,1.0965095890892878,1.383227824691817e-05,0.006701636570860494,0.000565847941175708,24.623868634239727,39.75677232465747,3.647731482195836,4.120301627557823,7.838249461121966,33.72526543993574,7.98606956936401e-06,3.436128403216735e-05,0.00032669246115819053,0.0014056442097734392,22.953583203751656,98.76129742792958,2.3788572538129626,10.235396656675812
PointerNet:greedy_rollout,5,-0.24192335450757924,0.8444434872416335,-0.24192335450757924,-0.24192335450757924,0.31456320838270807,0.7962839210695059,0.31456320838270807,0.31456320838270807,0.8275460592892712,0.3794724665691542,0.8275460592892712,0.8275460592892712,3,35.989680130955485,31.208673733176283,0.9574744582176208,1.4236064995860221e-05,0.00579363789541901,0.0012302915903631472,17.011029690314444,13.590147852031777,3.7649242026285474,2.062659244316511,18.01833618090053,77.52664335333442,8.219195957560908e-06,3.536434592270694e-05,0.0007103091808778959,0.003056213736032509,7.846275520697361,33.75979878707652,1.1908768699526078,5.123929615233585
PointerNet:greedy_rollout,6,-0.3577297575069602,0.7671018004783322,-0.3577297575069602,-0.3577297575069602,0.43896323122903336,0.71069166767671,0.43896323122903336,0.43896323122903336,-0.9997673614163047,0.013732335750821036,-0.9997673614163047,-0.9997673614163047,3,18.738289784550613,2.5412187636604013,1.0965078042613137,2.7802055260614727e-05,0.005884707009314242,0.0012261855047631233,6.73780864251365,3.561572593258814,2.5310611342252556,0.7052001602325537,1.4671733372690607,6.312737364538123,1.6051524088740765e-05,6.906413393620383e-05,0.0007079385312514064,0.0030460136539459414,2.05627489545637,8.847436791941,0.40714750234283215,1.751814312344353
