sigma,noise_percent,method,gap_mean,gap_std,count,gap_sem,gap_ci95
0.0,0.0,Attention:batch_greedy_mean,42.751563113364604,48.708140972502555,3,28.121658302200593,120.99772985754555
0.0,0.0,Attention:greedy_rollout,42.751563113364604,48.708140972502555,3,28.121658302200593,120.99772985754555
0.0,0.0,POMO,1.0448147342874639e-14,9.652003671252254e-15,3,5.572586917816745e-15,2.397690631341323e-14
0.0,0.0,PointerNet:batch_greedy_mean,23.766440690234756,26.58767277348322,3,15.350400032896221,66.04744060346867
0.0,0.0,PointerNet:greedy_rollout,23.766440690234756,26.58767277348322,3,15.350400032896221,66.04744060346867
0.5,5.0,Attention:batch_greedy_mean,37.75656842473852,51.76964794778897,3,29.88922017850812,128.60293478954696
0.5,5.0,Attention:greedy_rollout,37.75656842473852,51.76964794778897,3,29.88922017850812,128.60293478954696
0.5,5.0,POMO,4.96450010346759,5.184136464954175,3,2.993062583557048,12.87810889529312
0.5,5.0,PointerNet:batch_greedy_mean,16.714813503269486,14.653827365302568,3,8.460391174015744,36.40212517917598
0.5,5.0,PointerNet:greedy_rollout,25.87962898212331,17.08107993874127,3,9.861766100681788,42.43175483272337
1.0,10.0,Attention:batch_greedy_mean,48.54942616962568,51.71351184686894,3,29.856809985530685,128.46348498426264
1.0,10.0,Attention:greedy_rollout,48.54942616962568,51.71351184686894,3,29.856809985530685,128.46348498426264
1.0,10.0,POMO,5.917436090216114,4.7074241758279545,3,2.717832615104022,11.693889920234524
1.0,10.0,PointerNet:batch_greedy_mean,17.778100556498583,12.417577819408436,3,7.169291896718587,30.846973349404657
1.0,10.0,PointerNet:greedy_rollout,17.67000748866046,12.534446732068485,3,7.236766194902765,31.137291822671145
