method,instance,permutation,length_abs_diff,hamming_distance,perfect_match
Attention:batch_greedy_mean,0,0,0.0,0.0,True
Attention:batch_greedy_mean,0,1,0.0,0.0,True
Attention:batch_greedy_mean,1,0,0.0,0.0,True
Attention:batch_greedy_mean,1,1,0.0,0.0,True
Attention:batch_greedy_mean,2,0,0.0,0.0,True
Attention:batch_greedy_mean,2,1,0.0,0.0,True
Attention:greedy_rollout,0,0,0.0,0.0,True
Attention:greedy_rollout,0,1,0.0,0.0,True
Attention:greedy_rollout,1,0,0.0,0.0,True
Attention:greedy_rollout,1,1,0.0,0.0,True
Attention:greedy_rollout,2,0,0.0,0.0,True
Attention:greedy_rollout,2,1,0.0,0.0,True
PointerNet:batch_greedy_mean,0,0,1.7668898221832698,0.8333333333333334,False
PointerNet:batch_greedy_mean,0,1,2.2454705034646025,0.6666666666666666,False
PointerNet:batch_greedy_mean,1,0,2.6284931849473168,0.6666666666666666,False
PointerNet:batch_greedy_mean,1,1,2.6284931849473168,0.6666666666666666,False
PointerNet:batch_greedy_mean,2,0,2.3916178004166433,0.8333333333333334,False
PointerNet:batch_greedy_mean,2,1,8.685691228447869,0.3333333333333333,False
PointerNet:greedy_rollout,0,0,14.180435755767451,0.3333333333333333,False
PointerNet:greedy_rollout,0,1,12.634526555927074,0.8333333333333334,False
PointerNet:greedy_rollout,1,0,0.04430957001523339,0.8333333333333334,False
PointerNet:greedy_rollout,1,1,4.708380311095436,0.8333333333333334,False
PointerNet:greedy_rollout,2,0,3.9611226590829745,0.6666666666666666,False
PointerNet:greedy_rollout,2,1,5.013483729121226,0.3333333333333333,False
POMO,0,0,0.0,0.0,True
POMO,0,1,0.0,0.0,True
POMO,1,0,0.0,0.0,True
POMO,1,1,0.0,0.0,True
POMO,2,0,0.0,0.0,True
POMO,2,1,0.0,0.0,True
