method,checkpoint,phase,epoch,sigma_rel,loss,true_length_mean,observed_length_mean,baseline_true_mean,baseline_observed_mean,baseline,n_cities,best_metric_name,best_metric,best_epoch,is_best,instance,length,reference_length,gap_percent,reference_solver,time_ms
Attention:greedy_rollout,results\20260623_221409\small\tsp_reward_noise\models\attention_greedy_rollout_sigma_0.pt,train,1,0.0,-16.246957778930664,27.266021728515625,27.266021728515625,22.710728645324707,22.710728645324707,greedy_rollout,5,true_length_mean,25.11269760131836,1.0,True,,,,,,
Attention:greedy_rollout,,eval,1,0.0,,,,,,,5,,,,,0.0,25.127607640152206,22.69424609129514,10.722372265939407,exact_dp,3.01349995424971
Attention:greedy_rollout,,eval,1,0.0,,,,,,,5,,,,,1.0,21.95110854195697,20.883398110257062,5.112723638474778,exact_dp,2.2519000340253115
Attention:greedy_rollout,results\20260623_221409\small\tsp_reward_noise\models\attention_greedy_rollout_sigma_0p1.pt,train,1,0.1,-15.433614730834961,27.266021728515625,26.545133590698242,22.710728645324707,22.58063793182373,greedy_rollout,5,true_length_mean,25.11269760131836,1.0,True,,,,,,
Attention:greedy_rollout,,eval,1,0.1,,,,,,,5,,,,,0.0,25.127607640152206,22.69424609129514,10.722372265939407,exact_dp,2.9710999806411564
Attention:greedy_rollout,,eval,1,0.1,,,,,,,5,,,,,1.0,21.95110854195697,20.883398110257062,5.112723638474778,exact_dp,2.9241000302135944
PointerNet:greedy_rollout,results\20260623_221409\small\tsp_reward_noise\models\pointer_greedy_rollout_sigma_0.pt,train,1,0.0,-2.974926710128784,23.24280071258545,23.24280071258545,22.63235092163086,22.63235092163086,greedy_rollout,5,true_length_mean,20.934213638305664,1.0,True,,,,,,
PointerNet:greedy_rollout,,eval,1,0.0,,,,,,,5,,,,,0.0,25.127607640152206,22.69424609129514,10.722372265939407,exact_dp,3.0161000322550535
PointerNet:greedy_rollout,,eval,1,0.0,,,,,,,5,,,,,1.0,21.95110854195697,20.883398110257062,5.112723638474778,exact_dp,1.7532999627292156
PointerNet:greedy_rollout,results\20260623_221409\small\tsp_reward_noise\models\pointer_greedy_rollout_sigma_0p1.pt,train,1,0.1,-1.2467315196990967,23.24280071258545,22.626566886901855,22.63235092163086,22.370409965515137,greedy_rollout,5,true_length_mean,20.934213638305664,1.0,True,,,,,,
PointerNet:greedy_rollout,,eval,1,0.1,,,,,,,5,,,,,0.0,25.127607640152206,22.69424609129514,10.722372265939407,exact_dp,1.962199981790036
PointerNet:greedy_rollout,,eval,1,0.1,,,,,,,5,,,,,1.0,21.95110854195697,20.883398110257062,5.112723638474778,exact_dp,1.661999966017902
POMO,results\20260623_221409\small\tsp_reward_noise\models\pomo_sigma_0.pt,train,1,0.0,0.33796731382608414,22.651582717895508,22.651582717895508,,,pomo_group_mean,5,pomo_true_best_mean_length,21.635990142822266,1.0,True,,,,,,
POMO,,eval,1,0.0,,,,,,,5,,,,,0.0,22.694246091295135,22.69424609129514,-1.5654689142386714e-14,exact_dp,3.513099974952638
POMO,,eval,1,0.0,,,,,,,5,,,,,1.0,20.883398110257062,20.883398110257062,0.0,exact_dp,3.4484000061638653
POMO,results\20260623_221409\small\tsp_reward_noise\models\pomo_sigma_0p1.pt,train,1,0.1,0.577142134308815,22.651582717895508,20.57723331451416,,,pomo_group_mean,5,pomo_true_best_mean_length,21.635990142822266,1.0,True,,,,,,
POMO,,eval,1,0.1,,,,,,,5,,,,,0.0,22.694246091295135,22.69424609129514,-1.5654689142386714e-14,exact_dp,3.2763999770395458
POMO,,eval,1,0.1,,,,,,,5,,,,,1.0,20.883398110257062,20.883398110257062,0.0,exact_dp,3.1542000360786915
