method,n_cities,instance,mean_entropy,logprob_gap,sample_length_variance,sample_length_std,model_length,reference_length,reference_solver,gap_percent
Attention:batch_greedy_mean,20,0,0.40767360309837386,3.1197701996985634,1.5733861444138892,1.254346899551272,42.28496551513672,39.5488462862017,LKH,6.918328815800699
Attention:batch_greedy_mean,20,1,0.29074891292085,4.774174545551484,11.178768699930304,3.3434665692855825,35.66345977783203,34.270467165919065,LKH,4.064702722518632
Attention:batch_greedy_mean,20,2,0.29096007388194495,4.757089086074711,0.3631924482273653,0.6026545015407794,43.66752243041992,39.56935244321465,LKH,10.35692962902664
Attention:batch_greedy_mean,20,3,0.43530971397476603,3.296121256683486,7.360606161878627,2.71304370806639,32.499942779541016,32.336142494646516,LKH,0.5065548091322816
Attention:batch_greedy_mean,20,4,0.42910843400895826,3.3628923839848035,1.8720843816868502,1.3682413462861185,36.01568603515625,33.418831467105484,LKH,7.77063246692775
Attention:batch_greedy_mean,20,5,0.25743524060245593,4.294830938716766,6.3341478627700685,2.516773303809874,38.41729736328125,38.41729702333561,LKH,8.848765257593207e-07
Attention:batch_greedy_mean,20,6,0.26736382069066167,3.4004375291114286,4.297126699695273,2.0729512053339008,35.44677734375,33.03472009051039,LKH,7.301582234179429
Attention:batch_greedy_mean,20,7,0.31956056970957436,3.5798940981405893,3.510082422135369,1.8735213962310036,37.92417526245117,37.672459152683594,LKH,0.6681701047106908
Attention:batch_greedy_mean,20,8,0.2077734274280374,4.765241660919529,1.6579230086417682,1.2876035914215866,40.08235168457031,38.1297628799573,LKH,5.120904661170559
Attention:batch_greedy_mean,20,9,0.2580079881583515,4.177765326441937,2.7961358908432934,1.6721650309832738,35.95207214355469,35.884649421585046,LKH,0.18788736425298994
Attention:batch_greedy_mean,20,10,0.2166734506841749,4.590699666575885,0.8210098579500388,0.9060959430159914,39.7497444152832,39.394815964972054,LKH,0.9009521725567506
Attention:batch_greedy_mean,20,11,0.49164675925745627,3.200916013109874,47.16493703573584,6.8676733349611085,43.92610168457031,39.89386339162477,LKH,10.107414900789133
Attention:batch_greedy_mean,20,12,0.3538428793661296,3.1735658978589547,3.5251289524711136,1.8775326768051506,36.22701644897461,34.59298510880989,LKH,4.723591603976884
Attention:batch_greedy_mean,20,13,0.3544927109989658,3.4258262473633514,1.145779541373105,1.0704109217366502,38.77520751953125,38.77520807648372,LKH,-1.4363623029409166e-06
Attention:batch_greedy_mean,20,14,0.277990038896678,3.623545972767136,6.138651310509975,2.4776301803356318,40.57368469238281,37.876297480355184,LKH,7.121570458217697
Attention:batch_greedy_mean,20,15,0.34831640433276334,3.9719504430218437,3.857088552954217,1.9639471869055485,37.17293930053711,37.05468328965692,LKH,0.3191391758925027
Attention:batch_greedy_mean,20,16,0.2560507364401928,4.509533765975843,47.27820491305648,6.875914841899693,33.624725341796875,32.692467481950466,LKH,2.851598339467981
Attention:batch_greedy_mean,20,17,0.3227845911085751,4.254523479666181,2.2254694095663923,1.4918007271637832,42.257469177246094,40.15884861802888,LKH,5.225798625797912
Attention:batch_greedy_mean,20,18,0.21760974379430992,4.740138802351807,0.3971656850451489,0.6302108258711119,39.948795318603516,38.896168624914765,LKH,2.7062477639879825
Attention:batch_greedy_mean,20,19,0.31905525822076014,3.5458087290072697,6.081416002476135,2.466052716889105,46.11801528930664,44.707544722110676,LKH,3.1548826399728434
Attention:batch_greedy_mean,20,20,0.5692716657049459,2.8727239947167327,2.595049922123867,1.6109158643839432,41.24115753173828,39.95471034796365,LKH,3.2197635086602485
Attention:batch_greedy_mean,20,21,0.31732197040619214,3.278193264666539,5.329101211316902,2.3084846136192683,41.422523498535156,39.377718236407986,LKH,5.192797738688111
Attention:batch_greedy_mean,20,22,0.3952481918504418,3.7720028437085866,10.938541990329673,3.3073466692092732,36.4481201171875,35.09274942191249,LKH,3.8622527946718748
Attention:batch_greedy_mean,20,23,0.4703785314837205,3.895217643052436,2.5792782196188724,1.6060131442858343,40.98832702636719,38.95090221969107,LKH,5.230751254963545
Attention:batch_greedy_mean,20,24,0.36496131199110093,3.603972548804414,18.372132616660558,4.286272578436952,45.31175231933594,44.03925020745511,LKH,2.8894726996632936
Attention:batch_greedy_mean,20,25,0.4104445577604565,3.327338362566202,2.5803772088312793,1.606355256109706,44.98285675048828,39.86811367046085,LKH,12.829157462288101
Attention:batch_greedy_mean,20,26,0.29516608307385467,4.025943731016847,3.6143763470029557,1.901151321437343,36.81181335449219,36.54458295783789,LKH,0.7312448932926848
Attention:batch_greedy_mean,20,27,0.39403882653496114,3.3292571897251535,22.186294837329957,4.7102329918306545,39.488739013671875,36.75876643748289,LKH,7.42672521623368
Attention:batch_greedy_mean,20,28,0.2859125364353531,3.946725423061623,3.6081976124888624,1.899525628279035,39.30101776123047,38.76592353881016,LKH,1.3803211005268592
Attention:batch_greedy_mean,20,29,0.3069688979681814,3.649726343349897,1.6653965407290017,1.2905024373200547,39.571353912353516,38.74156616693584,LKH,2.141853898838663
Attention:batch_greedy_mean,20,30,0.3205788491575731,3.7980910859933688,7.748632377538223,2.783636538332227,41.73952865600586,39.25415412990302,LKH,6.331494286892632
Attention:batch_greedy_mean,20,31,0.4179067271135864,3.642965643269715,2.118238739112915,1.4554170327136189,40.63817596435547,37.72739656632407,LKH,7.715293561044703
Attention:batch_greedy_mean,20,32,0.2596454585276661,4.687046031469021,0.30308995413427003,0.5505360607029026,43.1420783996582,39.699714970075476,LKH,8.67100288296146
Attention:batch_greedy_mean,20,33,0.3052340408161399,4.376349599043247,11.87082928948614,3.4454069845935678,41.195404052734375,39.73717175544033,LKH,3.6696932189050484
Attention:batch_greedy_mean,20,34,0.31037631628896634,3.8365176800620473,2.8840160428662363,1.6982391006175297,37.941917419433594,36.435451985623956,LKH,4.134614370652055
Attention:batch_greedy_mean,20,35,0.3487266786141845,3.731944032143069,4.453098021040934,2.110236484624634,30.754226684570312,29.9510066178525,LKH,2.68177987126165
Attention:batch_greedy_mean,20,36,0.441275134186526,3.507863873269905,1.9250325524435665,1.3874554235879315,41.43101119995117,40.89964053879176,LKH,1.2992061890016595
Attention:batch_greedy_mean,20,37,0.3428735075956865,3.6019291964878803,4.7453967888138475,2.1783931667203347,44.150543212890625,41.77947268107304,LKH,5.675204543430561
Attention:batch_greedy_mean,20,38,0.35192522940851634,4.33367692600163,2.503484877884275,1.5822404614609864,40.17133712768555,39.76910596723323,LKH,1.0114161499726073
Attention:batch_greedy_mean,20,39,0.3726564376690476,4.111118847477009,7.465397655873052,2.7322879891902048,43.016258239746094,40.092365818394335,LKH,7.29289070791198
Attention:batch_greedy_mean,20,40,0.6549707008648511,3.489029258266638,7.0334616051309995,2.6520674209248525,51.41677474975586,40.102038922964965,LKH,28.214864208092322
Attention:batch_greedy_mean,20,41,0.37480779849341844,3.60494055371147,1.4973242233936737,1.223652002570042,40.84469985961914,36.71737657093345,LKH,11.240790258291485
Attention:batch_greedy_mean,20,42,0.44745778808119213,3.6914862455262636,5.716644862696853,2.390950619041902,43.17396926879883,39.675164303313764,LKH,8.81862753922568
Attention:batch_greedy_mean,20,43,0.3704122396593448,3.4750070434256015,5.555587276530375,2.3570293329804732,45.10859680175781,43.556170925726605,LKH,3.564192726395658
Attention:batch_greedy_mean,20,44,0.35683172139979435,3.783895054422447,7.240060505862614,2.690736052804625,43.1636962890625,41.18320431249356,LKH,4.808979800457463
Attention:batch_greedy_mean,20,45,0.3296023336080907,3.907054625297382,0.6903014768391226,0.830843834206599,39.18000411987305,37.57052611543126,LKH,4.28388465867326
Attention:batch_greedy_mean,20,46,0.39967555219554923,3.687420100118407,5.971354012236491,2.4436354090241226,37.23929977416992,34.58315032719642,LKH,7.680472778920569
Attention:batch_greedy_mean,20,47,0.22987934171687813,3.3247836193905775,1.3007903320816792,1.1405219559840483,38.07485580444336,35.770307423294916,LKH,6.442629507980236
Attention:batch_greedy_mean,20,48,0.40009273690100144,3.965753505796718,10.853067085846416,3.294399351300084,42.49509811401367,41.98055844390003,LKH,1.2256618043831835
Attention:batch_greedy_mean,20,49,0.3453447409934597,3.6089244212307205,5.514032336838544,2.3481976783990195,44.30691146850586,42.164556813493185,LKH,5.080937206310429
Attention:batch_greedy_mean,20,50,0.2995867440549773,3.7254258294299065,3.6442397240403315,1.9089891890841948,44.55564880371094,41.266851248100174,LKH,7.969586862438824
Attention:batch_greedy_mean,20,51,0.28849714183488684,3.958756977174269,0.5012441674917844,0.7079859938528335,36.06632614135742,35.48495672115893,LKH,1.6383545984482863
Attention:batch_greedy_mean,20,52,0.1947029021626804,4.178781225121728,5.255130145644041,2.2924070636874334,46.6811637878418,40.079889010686855,LKH,16.47029205942857
Attention:batch_greedy_mean,20,53,0.26832763896309186,3.890662622525747,6.244101711202035,2.4988200637905154,43.369422912597656,40.48342532328686,LKH,7.128837459439764
Attention:batch_greedy_mean,20,54,0.2203063548305181,4.46174782558308,0.4645471491608625,0.6815769576217072,44.356040954589844,44.25185776402303,LKH,0.23543235432596032
Attention:batch_greedy_mean,20,55,0.3358636333381583,3.8903460739742335,5.733853016980105,2.394546515935764,36.592063903808594,36.06024556835377,LKH,1.4748050854139014
Attention:batch_greedy_mean,20,56,0.4547340652836283,3.2831069471458805,2.019342286988814,1.4210356388876437,37.454627990722656,36.29077208842682,LKH,3.2070298737650487
Attention:batch_greedy_mean,20,57,0.3845628054230474,3.557574849802338,4.2902427069428635,2.0712901069002534,35.421688079833984,34.293437677764764,LKH,3.2899892179685355
Attention:batch_greedy_mean,20,58,0.558365475233586,3.044427356345376,7.539341489576834,2.745786133255253,52.18894958496094,42.514940695802515,LKH,22.754374652376107
Attention:batch_greedy_mean,20,59,0.35920402407759866,3.4655275418617157,2.6065609460652692,1.6144847308244414,40.90974044799805,36.94316168003122,LKH,10.73697698730229
Attention:batch_greedy_mean,20,60,0.4140952340880176,3.228856661613528,1.2792743136329585,1.1310500933349321,38.06102752685547,35.14959618203816,LKH,8.282972383919116
Attention:batch_greedy_mean,20,61,0.3311581036896314,3.7976677790648194,2.473838899455091,1.572844206987803,35.679832458496094,34.869046770234704,LKH,2.3252304360482317
Attention:batch_greedy_mean,20,62,0.3682323486860696,3.777473894802161,13.97088317237061,3.7377644618636165,39.9051399230957,38.23717954316477,LKH,4.36214281455572
Attention:batch_greedy_mean,20,63,0.2927238299739656,3.9515126873627766,28.407831694450902,5.329899782777431,36.83332443237305,36.833326658516285,LKH,-6.043828890036863e-06
Attention:batch_greedy_mean,20,64,0.2586457055993378,3.783278597992372,1.310477559794169,1.144760918180809,39.04460525512695,38.581548495151466,LKH,1.2002026306271225
Attention:batch_greedy_mean,20,65,0.46811192213103825,3.9696092993139707,7.373818726458796,2.7154776240025984,42.01835250854492,38.132406288046816,LKH,10.190666151892477
Attention:batch_greedy_mean,20,66,0.36799138733185827,3.5506041596054985,17.51771615472753,4.185417082529234,43.59003829956055,40.61156978388692,LKH,7.334039367410431
Attention:batch_greedy_mean,20,67,0.40060863075195813,2.882555075772507,23.436989040620883,4.841176410813892,46.15663528442383,42.96614286316464,LKH,7.425596548007644
Attention:batch_greedy_mean,20,68,0.39015634727838916,3.258521209668101,10.081432750477166,3.175127202251457,45.265350341796875,42.05168081528174,LKH,7.642190429038149
Attention:batch_greedy_mean,20,69,0.4559739072334651,3.4140655080084565,11.994493429084669,3.4633067188865425,44.0147590637207,38.75440920299303,LKH,13.573551936179204
Attention:batch_greedy_mean,20,70,0.37954108968933725,3.785263839119387,0.2758290894059941,0.5251943348951834,41.224910736083984,39.265563428409045,LKH,4.989989030075475
Attention:batch_greedy_mean,20,71,0.42666659009373686,3.4704237234229147,5.462578090252862,2.337215884391697,40.68234634399414,38.67985391349738,LKH,5.177094088760212
