method,n_cities,entropy_pearson_r,entropy_p_value,entropy_r_ci_low,entropy_r_ci_high,logprob_gap_pearson_r,logprob_gap_p_value,logprob_gap_r_ci_low,logprob_gap_r_ci_high,sample_variance_pearson_r,sample_variance_p_value,sample_variance_r_ci_low,sample_variance_r_ci_high,entropy_spearman_r,entropy_spearman_p_value,entropy_spearman_r_ci_low,entropy_spearman_r_ci_high,logprob_gap_spearman_r,logprob_gap_spearman_p_value,logprob_gap_spearman_r_ci_low,logprob_gap_spearman_r_ci_high,sample_variance_spearman_r,sample_variance_spearman_p_value,sample_variance_spearman_r_ci_low,sample_variance_spearman_r_ci_high,count,gap_mean,gap_std,entropy_mean,entropy_std,logprob_gap_mean,logprob_gap_std,sample_length_variance_mean,sample_length_variance_std,sample_length_std_mean,sample_length_std_std,gap_sem,gap_ci95,entropy_sem,entropy_ci95,logprob_gap_sem,logprob_gap_ci95,sample_length_variance_sem,sample_length_variance_ci95,sample_length_std_sem,sample_length_std_ci95
Attention:batch_greedy_mean,20,0.4253228470822721,1.3081652802146513e-14,0.32787182361972017,0.5138178200153121,-0.2178208189893352,0.0001430830968503971,-0.32309406905382865,-0.10722274397992955,0.11612270780821454,0.04446173526693916,0.0029181799246125214,0.2263885836942738,0.3270320781342015,6.592047303828218e-09,0.22201115060680077,0.4245520919574962,-0.2418084645384949,2.298196176297993e-05,-0.3455880959726552,-0.1321852019623923,0.12513250147223856,0.03024750828382403,0.012060501044739894,0.2350447333541414,300,6.000455563870232,5.125225246254895,0.354960294921455,0.08095687335732323,3.775171389915572,0.48025738326278894,6.702925218703548,7.545373410994712,2.2980645613770188,1.1943951424469772,0.2959050175582729,0.582320263278232,0.0046740472625601,0.009198196282605759,0.027727672950707643,0.05456611025383867,0.4356323369974041,0.8572938007814717,0.06895843570105437,0.13570535154844096
Attention:batch_greedy_mean,30,0.4879925855377827,2.3507968823129626e-19,0.39667036049642307,0.5697501289252797,-0.29932772985227685,1.2603539372271477e-07,-0.39904432978845866,-0.19261380802122977,0.19688608214365638,0.0006045612507812144,0.08555061227069859,0.30336516925362034,0.4706158957321747,6.110900147950577e-18,0.3774909629124641,0.5543170737445814,-0.2955215057945088,1.8467999053279564e-07,-0.39552778851454645,-0.18858989906409257,0.1884976499738886,0.0010354858872855754,0.07689617517794796,0.2954342073600877,300,9.96176264274258,5.12653377393984,0.5318224576384294,0.06814990627446511,2.5800667894054707,0.3210969435554255,10.538683064453902,7.777121692553245,3.0581055826115264,1.0911654856671167,0.29598056543938744,0.5824689361949124,0.0039346366732810195,0.007743088246342353,0.018538540679769098,0.03648254422489275,0.44901233027160936,0.8836246865176751,0.06299846868803385,0.12397655563686702
Attention:batch_greedy_mean,50,0.47339895612258803,3.671751205487145e-18,0.3805573819242083,0.5567927175807393,-0.054143757501819635,0.35001092738450196,-0.1663666001174951,0.05946374041317473,0.007784928455385219,0.8931827160127718,-0.10555102621224943,0.12092122792603267,0.3409006766741852,1.3403669197658557e-09,0.23679931300371548,0.4372632151992714,-0.08323914710163446,0.15037092649907347,-0.19464725699845692,0.030289269057411396,-0.05274103045589395,0.3626529301704763,-0.16499847143328683,0.060865393147766934,300,18.886129634696882,6.6931396177926095,0.8481544191503654,0.06175218804746619,1.558146603449987,0.1825068005294282,22.69895096971566,14.082572331306555,4.547700959957457,1.4227136026510212,0.3864285960056312,0.7604642990547542,0.003565264239225299,0.007016189274429212,0.01053703504146027,0.02073614388207103,0.8130576926362214,1.6000403560006458,0.08214040814703093,0.16164654622168032
Attention:batch_greedy_mean,100,0.29897116459481743,1.3065872100607876e-07,0.19223669772734386,0.39871502635274975,0.002410971103647165,0.9668295523526445,-0.1108621992497466,0.11562230544252503,0.06590009405441202,0.25516417529247754,-0.04769877057573461,0.17781600552745114,0.29228591428793654,2.5444409815822087e-07,0.1851720792930009,0.3925361428565591,-0.04012444582717585,0.4887154463057273,-0.15267362822902678,0.07345220912015027,0.09660729563661817,0.09487767065690683,-0.01681961463108964,0.20757926188094403,300,34.91163893933769,6.2859208491126815,1.3854344633085338,0.048709258888535015,0.8587808896349528,0.10057284984491079,46.844322538448154,27.063650652004625,6.580997507058878,1.8832462412592368,0.3629178094339887,0.7141967246173555,0.002812230373132286,0.005534271587533779,0.005806576193112705,0.011426933566115093,1.562520598918886,3.074930645138254,0.10872927243413712,0.213971561119029
Attention:greedy_rollout,20,0.47303996960075734,3.922141506530184e-18,0.38016173029430816,0.5564734678746364,-0.3696198011141169,3.821066893110843e-11,-0.46346359161950507,-0.2675768131843008,0.11418555590937786,0.0481590068571825,0.0009550026041181721,0.22452518936541493,0.5161595128834765,7.932365499475511e-22,0.4279297013911313,0.5946446046751267,-0.37205124501383346,2.7807552141626062e-11,-0.4656742825207767,-0.27019212127699516,0.16048044978277534,0.00533498983386358,0.04811189822863396,0.2688376914865458,300,5.261985198706655,4.410465953042186,0.3432006695099654,0.07304836696589126,3.776940698837454,0.46230421622606516,5.294092167627805,6.4989430775175085,2.0349622102014853,1.075582273983126,0.2546383705240585,0.5011104042367535,0.004217449433161988,0.00829964386730237,0.026691146368561763,0.05252629884005888,0.37521665352527883,0.7383999847998145,0.062098771541974754,0.12220601492996389
Attention:greedy_rollout,30,0.4999683629104249,2.2291637762511714e-20,0.409935113033611,0.5803529198283247,-0.2695467223638134,2.1673022609351664e-06,-0.37145134951474557,-0.16122509583553285,-0.013555898232003887,0.8151203774365736,-0.12660444873175486,0.09984026965117881,0.4979401993355481,3.3438234740847106e-20,0.40768597259277184,0.5785591938523517,-0.2716323514705719,1.7948123473347842e-06,-0.37338962601175013,-0.16341620292865766,0.02067445193835487,0.7213649095919082,-0.09278568330615652,0.13360455444859293,300,9.01801699528916,4.741243740031417,0.5097218283170291,0.06380397049469386,2.63137802929411,0.30516427930200135,7.7687930724631284,5.758731438808805,2.631798552004681,0.9193731255275702,0.27373583496007664,0.5386928711043141,0.0036837239540478436,0.007249309661817519,0.01761866788020686,0.034672299250868004,0.33248051463870243,0.6542982691436229,0.053080032150905024,0.10445777010470929
Attention:greedy_rollout,50,0.42985839128691816,6.383548267028568e-15,0.33281646609906546,0.517891173656238,-0.1437127368432219,0.012712128822251102,-0.25284079478944765,-0.030973918082757405,-0.06496005795741085,0.2620201478386689,-0.17690162480117846,0.048640657795829635,0.40507338970433,2.831683468912268e-13,0.3058608400297611,0.4955830611779532,-0.13926554739497105,0.01578476891289028,-0.24858800914097753,-0.02643962011385142,-0.03885554283936488,0.5025764342358139,-0.15143212631526573,0.0747161187945584,300,15.741520289159913,4.895478511420566,0.8142912885928231,0.0565655815701305,1.5949599835133863,0.17707427002732462,16.049652686025173,8.896217000999645,3.8547032215699635,1.0931142463141565,0.2826405836380692,0.5562167902233063,0.0032658153746382575,0.006426894969440437,0.010223387746683235,0.020118908065057214,0.5136233280296469,1.0107745859536328,0.0631109804364493,0.12419797084469221
Attention:greedy_rollout,100,0.1509960252447725,0.008807293525799207,0.03840990277310626,0.25979660597706,-0.05137668632726132,0.37521827608042263,-0.16366736438689786,0.06222826267015367,-0.05798229542946151,0.3168593997376399,-0.1701082526153347,0.05562585070694356,0.18369181879798663,0.0013954618753915394,0.07194551241319547,0.2908838155567198,-0.03923243591595462,0.4984379338039593,-0.15180091773353468,0.07434074693654427,-0.049670329670329666,0.3913050358825111,-0.16200200098628592,0.06393217899637917,300,29.02183322666132,4.297086636832334,1.3478184104386712,0.039412954291395325,0.8707004081192625,0.08277439993586008,37.13117229252407,20.759133005773517,5.858209456732611,1.6798692775147122,0.24809241265062912,0.48822841952517976,0.0022755079769695504,0.004478039660073278,0.0047789822084978555,0.009404700876038436,1.1985291029026583,2.3586209808404335,0.09698729795765011,0.19086418117334203
POMO,20,0.21550606659951255,0.00016897623036924374,0.10482127873313975,0.32091713610978323,-0.13249616610800222,0.021707369647179325,-0.24210644258696074,-0.01954654520523248,0.24724765450504907,1.4774595280511387e-05,0.13786483566096372,0.3506720745407621,0.26726669284029814,2.658729483934704e-06,0.15883097794406095,0.3693313904737896,-0.15591263760834426,0.006814443649381125,-0.26448577897053666,-0.0434366529734055,0.16982118304713276,0.0031718752511117176,0.05768767508177403,0.2777231786462271,300,1.5267188905427305,1.8076717445277446,0.32653287044479196,0.08083072549561027,4.078189401064043,0.5687233295555175,0.3594203782261399,0.34606606896095804,0.54181507280803,0.2570545894891343,0.10436597683095737,0.20538490224662917,0.004666764112368333,0.00918386355525912,0.032835256741329824,0.06461747593264139,0.01998013380720047,0.03931949811108567,0.01484105364379804,0.02920614978582076
POMO,30,0.19646116406644243,0.0006215995522794494,0.08511181530599617,0.30296377885795384,-0.17240476254692708,0.002734224891995446,-0.2801775852183642,-0.06033991366919182,0.03664345484851128,0.5272261207490754,-0.07691862971772032,0.14926695717636504,0.1755544730739284,0.002275240572033618,0.06357547020729835,0.28316791274044695,-0.14453055901980738,0.012208361354173383,-0.25362240802292896,-0.03180826463310062,-0.006602298515450165,0.909333705009548,-0.11975566374435873,0.10672039458339762,300,4.325506699500542,2.7701701238521577,0.514744309256504,0.07270641593995708,2.6836854021166596,0.3728366846508529,1.3427687181177204,0.8397597267091569,1.10990036249668,0.33355775015693695,0.1599358466707102,0.31474249781037916,0.004197706881474712,0.008260791914093922,0.02152573602469375,0.04236113457146391,0.04848355042701383,0.0954122173469471,0.019257965684339347,0.037898322036054026
