sigma,noise_percent,instance,method,length,reference_length,reference_solver,gap_percent
0.0,0.0,0,Attention:batch_greedy_mean,42.284963982720654,39.5488462862017,LKH,6.918324941057924
0.0,0.0,0,Attention:greedy_rollout,40.723048892561806,39.5488462862017,LKH,2.9689933250208997
0.0,0.0,0,PointerNet:batch_greedy_mean,44.25720091096725,39.5488462862017,LKH,11.90516302471321
0.0,0.0,0,PointerNet:greedy_rollout,44.92688155277491,39.5488462862017,LKH,13.598463094610077
0.0,0.0,0,POMO,40.545801951500806,39.5488462862017,LKH,2.52082110836931
0.0,0.0,1,Attention:batch_greedy_mean,35.66345989426811,34.270467165919065,LKH,4.064703062274948
0.0,0.0,1,Attention:greedy_rollout,36.600967850038174,34.270467165919065,LKH,6.800317815441748
0.0,0.0,1,PointerNet:batch_greedy_mean,37.539090980844,34.270467165919065,LKH,9.537727627405918
0.0,0.0,1,PointerNet:greedy_rollout,35.6634598942681,34.270467165919065,LKH,4.064703062274928
0.0,0.0,1,POMO,35.21770353576942,34.270467165919065,LKH,2.764001918224065
0.0,0.0,2,Attention:batch_greedy_mean,43.66751883053134,39.56935244321465,LKH,10.356920531357972
0.0,0.0,2,Attention:greedy_rollout,42.546980819214305,39.56935244321465,LKH,7.525087453156594
0.0,0.0,2,PointerNet:batch_greedy_mean,44.771103233457346,39.56935244321465,LKH,13.145908307970542
0.0,0.0,2,PointerNet:greedy_rollout,46.37034277140958,39.56935244321465,LKH,17.18751990686461
0.0,0.0,2,POMO,39.84925836328766,39.56935244321465,LKH,0.7073805932879527
0.0,0.0,3,Attention:batch_greedy_mean,32.49994403181242,32.336142494646516,LKH,0.5065586818001585
0.0,0.0,3,Attention:greedy_rollout,32.53590483125076,32.336142494646516,LKH,0.6177679871286961
0.0,0.0,3,PointerNet:batch_greedy_mean,34.704911300387984,32.336142494646516,LKH,7.325452645236316
0.0,0.0,3,PointerNet:greedy_rollout,40.05965086117183,32.336142494646516,LKH,23.885064113024608
0.0,0.0,3,POMO,32.50112020179347,32.336142494646516,LKH,0.5101960049015314
0.0,0.0,4,Attention:batch_greedy_mean,36.01568584872788,33.418831467105484,LKH,7.770631909073495
0.0,0.0,4,Attention:greedy_rollout,42.0062442172787,33.418831467105484,LKH,25.696328606300607
0.0,0.0,4,PointerNet:batch_greedy_mean,36.0524999874662,33.418831467105484,LKH,7.880791771409072
0.0,0.0,4,PointerNet:greedy_rollout,36.0524999874662,33.418831467105484,LKH,7.880791771409072
0.0,0.0,4,POMO,34.525291893251136,33.418831467105484,LKH,3.310889033432402
0.0,0.0,5,Attention:batch_greedy_mean,38.41729702333561,38.41729702333561,LKH,0.0
0.0,0.0,5,Attention:greedy_rollout,40.79442919442362,38.41729702333561,LKH,6.18766117159176
0.0,0.0,5,PointerNet:batch_greedy_mean,43.698155736229296,38.41729702333561,LKH,13.746044417664175
0.0,0.0,5,PointerNet:greedy_rollout,43.42844993592086,38.41729702333561,LKH,13.044001793102092
0.0,0.0,5,POMO,38.41729702333561,38.41729702333561,LKH,0.0
0.0,0.0,6,Attention:batch_greedy_mean,35.44677727122859,33.03472009051039,LKH,7.301582014648557
0.0,0.0,6,Attention:greedy_rollout,35.31259816489653,33.03472009051039,LKH,6.895406009631923
0.0,0.0,6,PointerNet:batch_greedy_mean,39.70026972795422,33.03472009051039,LKH,20.177406132642208
0.0,0.0,6,PointerNet:greedy_rollout,34.35291670474343,33.03472009051039,LKH,3.9903368656412668
0.0,0.0,6,POMO,33.5224153780933,33.03472009051039,LKH,1.476311245400881
0.0,0.0,7,Attention:batch_greedy_mean,37.924177739949535,37.672459152683594,LKH,0.6681766811286327
0.0,0.0,7,Attention:greedy_rollout,38.3867455305415,37.672459152683594,LKH,1.896043937463604
0.0,0.0,7,PointerNet:batch_greedy_mean,41.477778503226105,37.672459152683594,LKH,10.101064374693044
0.0,0.0,7,PointerNet:greedy_rollout,41.17948611948307,37.672459152683594,LKH,9.3092594581781
0.0,0.0,7,POMO,38.624989965369664,37.672459152683594,LKH,2.5284540327604743
0.0,0.0,8,Attention:batch_greedy_mean,40.0823525568948,38.1297628799573,LKH,5.120906948948973
0.0,0.0,8,Attention:greedy_rollout,39.41039600913678,38.1297628799573,LKH,3.358618130438578
0.0,0.0,8,PointerNet:batch_greedy_mean,47.44616651573304,38.1297628799573,LKH,24.43341613507085
0.0,0.0,8,PointerNet:greedy_rollout,46.5410539154257,38.1297628799573,LKH,22.05964684844592
0.0,0.0,8,POMO,38.303393088779984,38.1297628799573,LKH,0.4553666105119007
0.0,0.0,9,Attention:batch_greedy_mean,35.95207066048504,35.884649421585046,LKH,0.187883231372581
0.0,0.0,9,Attention:greedy_rollout,37.22807038082267,35.884649421585046,LKH,3.743720451200904
0.0,0.0,9,PointerNet:batch_greedy_mean,37.46105713298281,35.884649421585046,LKH,4.392986240098351
0.0,0.0,9,PointerNet:greedy_rollout,39.20534171390347,35.884649421585046,LKH,9.253796110157873
0.0,0.0,9,POMO,35.95207066048505,35.884649421585046,LKH,0.1878832313726008
0.0,0.0,10,Attention:batch_greedy_mean,39.74974102253007,39.394815964972054,LKH,0.9009435603750383
0.0,0.0,10,Attention:greedy_rollout,40.22714429858364,39.394815964972054,LKH,2.112786449749253
0.0,0.0,10,PointerNet:batch_greedy_mean,40.40060676741472,39.394815964972054,LKH,2.553104457543267
0.0,0.0,10,PointerNet:greedy_rollout,40.40060676741472,39.394815964972054,LKH,2.553104457543267
0.0,0.0,10,POMO,39.39481596497206,39.394815964972054,LKH,1.803645272494432e-14
0.0,0.0,11,Attention:batch_greedy_mean,43.926107368908454,39.89386339162477,LKH,10.10742914944208
0.0,0.0,11,Attention:greedy_rollout,39.98416662587037,39.89386339162477,LKH,0.2263587092559228
0.0,0.0,11,PointerNet:batch_greedy_mean,50.275060632281104,39.89386339162477,LKH,26.022040379362554
