sigma,noise_percent,method,gap_mean,gap_std,count,gap_sem,gap_ci95
0.0,0.0,Attention:batch_greedy_mean,5.836981551485552,4.857912640592021,500,0.21725245786238526,0.4268422892265375
0.0,0.0,Attention:greedy_rollout,5.397735753423072,4.415239626409195,500,0.19745551883203472,0.38794666126201693
0.0,0.0,POMO,1.536348182134692,1.8032912029444832,500,0.08064563426022467,0.15844684788590518
0.0,0.0,PointerNet:batch_greedy_mean,13.316565712269362,7.483676164978438,500,0.33468017252973437,0.6575559715499916
0.0,0.0,PointerNet:greedy_rollout,11.015738946341969,6.7697085351041055,500,0.302750569447066,0.5948229419309028
0.1,1.0,Attention:batch_greedy_mean,5.843543798267485,4.822639465845119,500,0.2156749935320592,0.42374299869351123
0.1,1.0,Attention:greedy_rollout,5.749024618891737,4.368746789775818,500,0.19537629596845424,0.38386155099152686
0.1,1.0,POMO,1.9766946294750671,2.2204827319459737,500,0.09930300662991282,0.19510353573923264
0.1,1.0,PointerNet:batch_greedy_mean,13.855591573349162,8.035136223476918,500,0.3593422160833066,0.7060102133615128
0.1,1.0,PointerNet:greedy_rollout,11.377950136944381,6.715377350939389,500,0.30032080502525865,0.5900491123582017
0.2,2.0,Attention:batch_greedy_mean,7.131975001882796,5.327041093762506,500,0.23823252009175586,0.4680624341133321
0.2,2.0,Attention:greedy_rollout,6.484934345713874,4.724936103569197,500,0.21130556633847422,0.4151582566644941
0.2,2.0,POMO,2.8630951960897124,2.4644910363173382,500,0.11021538974288941,0.21654341556701523
0.2,2.0,PointerNet:batch_greedy_mean,14.432839154945635,7.785757395952336,500,0.3481896558734234,0.6840984505323957
0.2,2.0,PointerNet:greedy_rollout,11.946132729463958,6.778021399165108,500,0.30312233202962835,0.5955533548033325
0.5,5.0,Attention:batch_greedy_mean,12.71211973957332,6.821419360030925,500,0.30506314784124516,0.5993665326709096
0.5,5.0,Attention:greedy_rollout,12.474546422714084,6.715275400626869,500,0.3003162456686762,0.5900401544563202
0.5,5.0,POMO,9.18837798807347,5.544457223268916,500,0.24795566499138047,0.4871657826704564
0.5,5.0,PointerNet:batch_greedy_mean,20.962726174738727,9.49576261680455,500,0.4246634141875252,0.8343486911313989
0.5,5.0,PointerNet:greedy_rollout,17.58691111503755,8.631131374320406,500,0.38599592951423217,0.758377547518215
1.0,10.0,Attention:batch_greedy_mean,30.3977514276707,12.226523679998394,500,0.5467867615397458,1.0742880210001022
1.0,10.0,Attention:greedy_rollout,30.503943177331816,12.796472734394094,500,0.572275658126556,1.1243668052680535
1.0,10.0,POMO,27.7342089197377,11.955642834118226,500,0.5346726018359319,1.0504869753829007
1.0,10.0,PointerNet:batch_greedy_mean,36.72872846024073,14.003095444369343,500,0.6262374661805495,1.2303871555425694
1.0,10.0,PointerNet:greedy_rollout,34.37767004101343,12.28243500992347,500,0.5492871922282436,1.0792006906639215
1.5,15.0,Attention:batch_greedy_mean,52.5399884253476,17.229132236655527,500,0.770510217489895,1.5138440703586946
1.5,15.0,Attention:greedy_rollout,52.47709821059364,17.353625282767627,500,0.7760777157665485,1.5247826978571088
1.5,15.0,POMO,50.949117995857115,17.789001362765536,500,0.7955483259796027,1.563037178003161
1.5,15.0,PointerNet:batch_greedy_mean,58.4154625764384,18.936854342952678,500,0.8468818718170861,1.6638937042536772
1.5,15.0,PointerNet:greedy_rollout,56.52483447571913,18.06209719060076,500,0.8077615426878254,1.587032843828308
2.0,20.0,Attention:batch_greedy_mean,70.91311679199079,21.01316920861815,500,0.9397374954635129,1.8463298771503012
2.0,20.0,Attention:greedy_rollout,71.13620487769492,21.235148295073156,500,0.9496647020014467,1.8658341516057846
2.0,20.0,POMO,69.87861389476043,22.160678302796878,500,0.9910556622511697,1.9471561877296175
2.0,20.0,PointerNet:batch_greedy_mean,76.54572615559775,21.409716759043434,500,0.957471641044752,1.8811726741978156
2.0,20.0,PointerNet:greedy_rollout,75.14756715259459,21.549140791676557,500,0.9637068733380483,1.8934232183440902
2.5,25.0,Attention:batch_greedy_mean,90.7973939823794,25.377096029965056,500,1.1348982358908382,2.2297679198347815
2.5,25.0,Attention:greedy_rollout,90.67935675171819,25.947629941750698,500,1.1604132880952693,2.2798980928134123
2.5,25.0,POMO,89.05169536895762,24.77548947514082,500,1.107993572844909,2.176907537593825
2.5,25.0,PointerNet:batch_greedy_mean,93.69353394664303,26.378103178409187,500,1.1796646364885242,2.317721782817783
2.5,25.0,PointerNet:greedy_rollout,92.95947536934588,26.91703765450776,500,1.203766518968017,2.365075459703373
3.0,30.0,Attention:batch_greedy_mean,106.28695830343777,27.91880343748292,500,1.2485668467333322,2.4530959803897687
3.0,30.0,Attention:greedy_rollout,103.72946779495913,27.16415614837184,500,1.214817993983566,2.386788617480188
3.0,30.0,POMO,104.43555447087392,27.14810422992944,500,1.2141001303674361,2.3853782097348573
3.0,30.0,PointerNet:batch_greedy_mean,107.58463732444838,27.161191169778018,500,1.2146853961098136,2.3865280985404445
3.0,30.0,PointerNet:greedy_rollout,105.47144960066949,26.206524952518382,500,1.171991424957511,2.302645998599536
4.0,40.0,Attention:batch_greedy_mean,130.7429265763789,29.545674530893464,500,1.3213227338432398,2.596041610161985
4.0,40.0,Attention:greedy_rollout,129.90783435918252,29.755315730851695,500,1.3306981733230645,2.6144618116614224
4.0,40.0,POMO,129.35762987779208,29.630283088386033,500,1.3251065435638716,2.603475772330015
4.0,40.0,PointerNet:batch_greedy_mean,131.31230211401183,29.516375938937838,500,1.3200124609780837,2.5934672785535993
4.0,40.0,PointerNet:greedy_rollout,130.7896874211525,29.483752469996265,500,1.3185534950937794,2.5906008054002583
5.0,50.0,Attention:batch_greedy_mean,140.80732894202697,33.394712796044665,500,1.4934569580207588,2.934238779598416
5.0,50.0,Attention:greedy_rollout,140.8841368389337,32.181498312570255,500,1.4392003568940372,2.827639240709652
5.0,50.0,POMO,141.60091981028572,32.756530919082024,500,1.4649165968428213,2.8781646931627187
5.0,50.0,PointerNet:batch_greedy_mean,141.3237208485576,33.07556975478676,500,1.479184447324785,2.9061971583508504
5.0,50.0,PointerNet:greedy_rollout,141.00509958777212,32.99799123084563,500,1.4757150302622555,2.8993806926785046
