method,instance,permutation,length_abs_diff,hamming_distance,perfect_match
Attention:batch_greedy_mean,0,0,0.0,0.0,True
Attention:batch_greedy_mean,0,1,0.0,0.0,True
Attention:batch_greedy_mean,0,2,0.0,0.0,True
Attention:batch_greedy_mean,0,3,0.0,0.0,True
Attention:batch_greedy_mean,0,4,0.0,0.0,True
Attention:batch_greedy_mean,1,0,0.0,0.0,True
Attention:batch_greedy_mean,1,1,0.0,0.0,True
Attention:batch_greedy_mean,1,2,0.0,0.0,True
Attention:batch_greedy_mean,1,3,0.0,0.0,True
Attention:batch_greedy_mean,1,4,0.0,0.0,True
Attention:batch_greedy_mean,2,0,0.0,0.0,True
Attention:batch_greedy_mean,2,1,0.0,0.0,True
Attention:batch_greedy_mean,2,2,0.0,0.0,True
Attention:batch_greedy_mean,2,3,0.0,0.0,True
Attention:batch_greedy_mean,2,4,0.0,0.0,True
Attention:batch_greedy_mean,3,0,0.0,0.0,True
Attention:batch_greedy_mean,3,1,0.0,0.0,True
Attention:batch_greedy_mean,3,2,0.0,0.0,True
Attention:batch_greedy_mean,3,3,0.0,0.0,True
Attention:batch_greedy_mean,3,4,0.0,0.0,True
Attention:batch_greedy_mean,4,0,0.0,0.0,True
Attention:batch_greedy_mean,4,1,0.0,0.0,True
Attention:batch_greedy_mean,4,2,0.0,0.0,True
Attention:batch_greedy_mean,4,3,0.0,0.0,True
Attention:batch_greedy_mean,4,4,0.0,0.0,True
Attention:batch_greedy_mean,5,0,0.0,0.0,True
Attention:batch_greedy_mean,5,1,0.0,0.0,True
Attention:batch_greedy_mean,5,2,0.0,0.0,True
Attention:batch_greedy_mean,5,3,0.0,0.0,True
Attention:batch_greedy_mean,5,4,0.0,0.0,True
Attention:batch_greedy_mean,6,0,0.0,0.0,True
Attention:batch_greedy_mean,6,1,0.0,0.0,True
Attention:batch_greedy_mean,6,2,0.0,0.0,True
Attention:batch_greedy_mean,6,3,0.0,0.0,True
Attention:batch_greedy_mean,6,4,0.0,0.0,True
Attention:batch_greedy_mean,7,0,0.0,0.0,True
Attention:batch_greedy_mean,7,1,0.0,0.0,True
Attention:batch_greedy_mean,7,2,0.0,0.0,True
Attention:batch_greedy_mean,7,3,0.0,0.0,True
Attention:batch_greedy_mean,7,4,0.0,0.0,True
Attention:batch_greedy_mean,8,0,0.0,0.0,True
Attention:batch_greedy_mean,8,1,0.0,0.0,True
Attention:batch_greedy_mean,8,2,0.0,0.0,True
Attention:batch_greedy_mean,8,3,0.0,0.0,True
Attention:batch_greedy_mean,8,4,0.0,0.0,True
Attention:batch_greedy_mean,9,0,0.0,0.0,True
Attention:batch_greedy_mean,9,1,0.0,0.0,True
Attention:batch_greedy_mean,9,2,0.0,0.0,True
Attention:batch_greedy_mean,9,3,0.0,0.0,True
Attention:batch_greedy_mean,9,4,0.0,0.0,True
Attention:batch_greedy_mean,10,0,0.0,0.0,True
Attention:batch_greedy_mean,10,1,0.0,0.0,True
Attention:batch_greedy_mean,10,2,0.0,0.0,True
Attention:batch_greedy_mean,10,3,0.0,0.0,True
Attention:batch_greedy_mean,10,4,0.0,0.0,True
Attention:batch_greedy_mean,11,0,0.0,0.0,True
Attention:batch_greedy_mean,11,1,0.0,0.0,True
Attention:batch_greedy_mean,11,2,0.0,0.0,True
Attention:batch_greedy_mean,11,3,0.0,0.0,True
Attention:batch_greedy_mean,11,4,0.0,0.0,True
Attention:batch_greedy_mean,12,0,0.0,0.0,True
Attention:batch_greedy_mean,12,1,0.0,0.0,True
Attention:batch_greedy_mean,12,2,0.0,0.0,True
Attention:batch_greedy_mean,12,3,0.0,0.0,True
Attention:batch_greedy_mean,12,4,0.0,0.0,True
Attention:batch_greedy_mean,13,0,0.0,0.0,True
Attention:batch_greedy_mean,13,1,0.0,0.0,True
Attention:batch_greedy_mean,13,2,0.0,0.0,True
Attention:batch_greedy_mean,13,3,0.0,0.0,True
Attention:batch_greedy_mean,13,4,0.0,0.0,True
Attention:batch_greedy_mean,14,0,0.0,0.0,True
Attention:batch_greedy_mean,14,1,0.0,0.0,True
Attention:batch_greedy_mean,14,2,0.0,0.0,True
Attention:batch_greedy_mean,14,3,0.0,0.0,True
Attention:batch_greedy_mean,14,4,0.0,0.0,True
Attention:batch_greedy_mean,15,0,0.0,0.0,True
Attention:batch_greedy_mean,15,1,0.0,0.0,True
Attention:batch_greedy_mean,15,2,0.0,0.0,True
Attention:batch_greedy_mean,15,3,0.0,0.0,True
Attention:batch_greedy_mean,15,4,0.0,0.0,True
Attention:batch_greedy_mean,16,0,0.0,0.0,True
Attention:batch_greedy_mean,16,1,0.0,0.0,True
Attention:batch_greedy_mean,16,2,0.0,0.0,True
Attention:batch_greedy_mean,16,3,0.0,0.0,True
Attention:batch_greedy_mean,16,4,0.0,0.0,True
Attention:batch_greedy_mean,17,0,0.0,0.0,True
Attention:batch_greedy_mean,17,1,0.0,0.0,True
Attention:batch_greedy_mean,17,2,0.0,0.0,True
Attention:batch_greedy_mean,17,3,0.0,0.0,True
Attention:batch_greedy_mean,17,4,0.0,0.0,True
Attention:batch_greedy_mean,18,0,0.0,0.0,True
Attention:batch_greedy_mean,18,1,0.0,0.0,True
Attention:batch_greedy_mean,18,2,0.0,0.0,True
Attention:batch_greedy_mean,18,3,0.0,0.0,True
Attention:batch_greedy_mean,18,4,0.0,0.0,True
Attention:batch_greedy_mean,19,0,0.0,0.0,True
Attention:batch_greedy_mean,19,1,0.0,0.0,True
Attention:batch_greedy_mean,19,2,0.0,0.0,True
Attention:batch_greedy_mean,19,3,0.0,0.0,True
Attention:batch_greedy_mean,19,4,0.0,0.0,True
Attention:batch_greedy_mean,20,0,0.0,0.0,True
Attention:batch_greedy_mean,20,1,0.0,0.0,True
Attention:batch_greedy_mean,20,2,0.0,0.0,True
Attention:batch_greedy_mean,20,3,0.0,0.0,True
Attention:batch_greedy_mean,20,4,0.0,0.0,True
Attention:batch_greedy_mean,21,0,0.0,0.0,True
Attention:batch_greedy_mean,21,1,0.0,0.0,True
Attention:batch_greedy_mean,21,2,0.0,0.0,True
Attention:batch_greedy_mean,21,3,0.0,0.0,True
Attention:batch_greedy_mean,21,4,0.0,0.0,True
Attention:batch_greedy_mean,22,0,0.0,0.0,True
Attention:batch_greedy_mean,22,1,0.0,0.0,True
Attention:batch_greedy_mean,22,2,0.0,0.0,True
Attention:batch_greedy_mean,22,3,0.0,0.0,True
Attention:batch_greedy_mean,22,4,0.0,0.0,True
Attention:batch_greedy_mean,23,0,0.0,0.0,True
Attention:batch_greedy_mean,23,1,0.0,0.0,True
Attention:batch_greedy_mean,23,2,0.0,0.0,True
Attention:batch_greedy_mean,23,3,0.0,0.0,True
Attention:batch_greedy_mean,23,4,0.0,0.0,True
Attention:batch_greedy_mean,24,0,0.0,0.0,True
Attention:batch_greedy_mean,24,1,0.0,0.0,True
Attention:batch_greedy_mean,24,2,0.0,0.0,True
Attention:batch_greedy_mean,24,3,0.0,0.0,True
Attention:batch_greedy_mean,24,4,0.0,0.0,True
Attention:batch_greedy_mean,25,0,0.0,0.0,True
Attention:batch_greedy_mean,25,1,0.0,0.0,True
Attention:batch_greedy_mean,25,2,0.0,0.0,True
Attention:batch_greedy_mean,25,3,0.0,0.0,True
Attention:batch_greedy_mean,25,4,0.0,0.0,True
Attention:batch_greedy_mean,26,0,0.0,0.0,True
Attention:batch_greedy_mean,26,1,0.0,0.0,True
Attention:batch_greedy_mean,26,2,0.0,0.0,True
Attention:batch_greedy_mean,26,3,0.0,0.0,True
Attention:batch_greedy_mean,26,4,0.0,0.0,True
Attention:batch_greedy_mean,27,0,0.0,0.0,True
Attention:batch_greedy_mean,27,1,0.0,0.0,True
Attention:batch_greedy_mean,27,2,0.0,0.0,True
Attention:batch_greedy_mean,27,3,0.0,0.0,True
Attention:batch_greedy_mean,27,4,0.0,0.0,True
Attention:batch_greedy_mean,28,0,0.0,0.0,True
Attention:batch_greedy_mean,28,1,0.0,0.0,True
Attention:batch_greedy_mean,28,2,0.0,0.0,True
Attention:batch_greedy_mean,28,3,0.0,0.0,True
Attention:batch_greedy_mean,28,4,0.0,0.0,True
Attention:batch_greedy_mean,29,0,0.0,0.0,True
Attention:batch_greedy_mean,29,1,0.0,0.0,True
Attention:batch_greedy_mean,29,2,0.0,0.0,True
Attention:batch_greedy_mean,29,3,0.0,0.0,True
Attention:batch_greedy_mean,29,4,0.0,0.0,True
Attention:batch_greedy_mean,30,0,0.0,0.0,True
Attention:batch_greedy_mean,30,1,0.0,0.0,True
Attention:batch_greedy_mean,30,2,0.0,0.0,True
Attention:batch_greedy_mean,30,3,0.0,0.0,True
Attention:batch_greedy_mean,30,4,0.0,0.0,True
Attention:batch_greedy_mean,31,0,0.0,0.0,True
Attention:batch_greedy_mean,31,1,0.0,0.0,True
Attention:batch_greedy_mean,31,2,0.0,0.0,True
Attention:batch_greedy_mean,31,3,0.0,0.0,True
Attention:batch_greedy_mean,31,4,0.0,0.0,True
Attention:batch_greedy_mean,32,0,0.0,0.0,True
Attention:batch_greedy_mean,32,1,0.0,0.0,True
Attention:batch_greedy_mean,32,2,0.0,0.0,True
Attention:batch_greedy_mean,32,3,0.0,0.0,True
Attention:batch_greedy_mean,32,4,0.0,0.0,True
Attention:batch_greedy_mean,33,0,0.0,0.0,True
Attention:batch_greedy_mean,33,1,0.0,0.0,True
Attention:batch_greedy_mean,33,2,0.0,0.0,True
Attention:batch_greedy_mean,33,3,0.0,0.0,True
Attention:batch_greedy_mean,33,4,0.0,0.0,True
Attention:batch_greedy_mean,34,0,0.0,0.0,True
Attention:batch_greedy_mean,34,1,0.0,0.0,True
Attention:batch_greedy_mean,34,2,0.0,0.0,True
Attention:batch_greedy_mean,34,3,0.0,0.0,True
Attention:batch_greedy_mean,34,4,0.0,0.0,True
Attention:batch_greedy_mean,35,0,0.0,0.0,True
Attention:batch_greedy_mean,35,1,0.0,0.0,True
Attention:batch_greedy_mean,35,2,0.0,0.0,True
Attention:batch_greedy_mean,35,3,0.0,0.0,True
Attention:batch_greedy_mean,35,4,0.0,0.0,True
