phase,sigma_rel,epoch,method,n_cities,observed_length_mean_mean,observed_length_mean_std,true_length_mean_mean,true_length_mean_std,baseline_observed_mean_mean,baseline_observed_mean_std,length_mean,length_std,gap_percent_mean,gap_percent_std,time_ms_mean,time_ms_std,count,observed_length_mean_sem,observed_length_mean_ci95,true_length_mean_sem,true_length_mean_ci95,baseline_observed_mean_sem,baseline_observed_mean_ci95,length_sem,length_ci95,gap_percent_sem,gap_percent_ci95,time_ms_sem,time_ms_ci95
eval,0.0,1500,Attention:greedy_rollout,10,0.0,0.0,0.0,0.0,0.0,0.0,29.924908879874188,3.292531181745787,2.5027014172670836,3.575150412165666,3.138782001333311,0.7493370290938479,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3292531181745787,0.6533096184190906,0.3575150412165666,0.7093874052012368,0.0749337029093848,0.14868472355211682
eval,0.0,1500,Attention:greedy_rollout,20,0.0,0.0,0.0,0.0,0.0,0.0,40.757767573828836,3.8084048601579603,6.163827321469123,5.238689775290467,4.911802999558859,0.8586883854782746,100,0.0,0.0,0.0,0.0,0.0,0.0,0.380840486015796,0.7556701481733479,0.5238689775290467,1.0394697055826556,0.08586883854782747,0.17038240505296148
eval,0.0,1500,Attention:greedy_rollout,50,0.0,0.0,0.0,0.0,0.0,0.0,66.5988244437146,4.2547601245255535,17.682004910167024,5.619743439924058,12.674679998890497,3.561489013775456,100,0.0,0.0,0.0,0.0,0.0,0.0,0.42547601245255534,0.8442367163686797,0.5619743439924058,1.1150790196627032,0.35614890137754557,0.7066766873745199
eval,0.0,1500,Attention:greedy_rollout,100,0.0,0.0,0.0,0.0,0.0,0.0,102.50013939803205,4.33924312355804,31.778156244004034,5.080563613717861,21.233882993692532,3.352742999383793,100,0.0,0.0,0.0,0.0,0.0,0.0,0.433924312355804,0.8609999762481347,0.5080563613717861,1.0080940445557192,0.3352742999383793,0.6652569493429388
eval,0.0,1500,Attention:greedy_rollout,200,0.0,0.0,0.0,0.0,0.0,0.0,159.22496284441334,5.331351259157033,48.41246179516809,4.096231283430737,56.51230399729684,49.20504394775473,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5331351259157033,1.0578557542866547,0.4096231283430737,0.8127811549883436,4.920504394775473,9.763348230086464
eval,0.0,1500,POMO,10,0.0,0.0,0.0,0.0,0.0,0.0,29.286795568833572,3.1725079374867566,0.28607402065189935,0.9988521513070342,5.082023005234078,1.213690581937628,100,0.0,0.0,0.0,0.0,0.0,0.0,0.31725079374867565,0.629494402835707,0.09988521513070342,0.1981939370674333,0.1213690581937628,0.24082254265670794
eval,0.0,1500,POMO,20,0.0,0.0,0.0,0.0,0.0,0.0,38.936005778112474,2.979425836579717,1.4579778360636997,1.6391084350202862,10.830584996729158,2.4452612089801233,100,0.0,0.0,0.0,0.0,0.0,0.0,0.2979425836579717,0.5911827250704413,0.1639108435020286,0.325234674212812,0.24452612089801234,0.4851928741724976
eval,0.0,1500,POMO,50,0.0,0.0,0.0,0.0,0.0,0.0,62.24784791647686,3.5548437720407393,9.989632124926896,3.9874550825249417,46.22748900495935,11.199682272659022,100,0.0,0.0,0.0,0.0,0.0,0.0,0.35548437720407394,0.7053581272448303,0.39874550825249416,0.7911975968125442,1.1199682272659022,2.222259941692132
eval,0.0,1500,POMO,100,0.0,0.0,0.0,0.0,0.0,0.0,90.63548238869232,2.899878561628175,16.522195179392817,2.986243774586195,182.36738400009926,13.038442690729115,100,0.0,0.0,0.0,0.0,0.0,0.0,0.28998785616281747,0.575398819929924,0.2986243774586195,0.5925355518871203,1.3038442690729115,2.587109900821919
eval,0.0,1500,POMO,200,0.0,0.0,0.0,0.0,0.0,0.0,132.24905687802982,2.9453546504122787,23.284984322274425,2.4974167223452666,1095.339758998016,165.67413576691814,100,0.0,0.0,0.0,0.0,0.0,0.0,0.29453546504122785,0.5844222625552973,0.24974167223452665,0.4955416595458731,16.567413576691813,32.87334286152699
eval,0.0,1500,PointerNet:greedy_rollout,10,0.0,0.0,0.0,0.0,0.0,0.0,32.06882227698852,4.136869017347339,9.814843865669427,7.940116390376165,4.665771998115815,1.0068246175699236,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4136869017347339,0.8208445630391656,0.7940116390376165,1.575491353873632,0.10068246175699236,0.19977584733784892
eval,0.0,1500,PointerNet:greedy_rollout,20,0.0,0.0,0.0,0.0,0.0,0.0,46.04973675328773,4.498040674901912,20.032561917265536,8.256313254540846,8.915733001194894,2.149729007516322,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4498040674901912,0.892508855571593,0.8256313254540846,1.6382316716625767,0.2149729007516322,0.42655287378638224
eval,0.0,1500,PointerNet:greedy_rollout,50,0.0,0.0,0.0,0.0,0.0,0.0,78.47512885995883,4.9175875085808025,38.72419507180037,7.470894568950949,21.947810000856407,3.032681162884525,100,0.0,0.0,0.0,0.0,0.0,0.0,0.49175875085808024,0.9757560495053378,0.7470894568950949,1.4823875646646625,0.3032681162884525,0.6017497371916539
eval,0.0,1500,PointerNet:greedy_rollout,100,0.0,0.0,0.0,0.0,0.0,0.0,120.19455695391025,5.961070279792485,54.51599268392572,6.885544683886911,48.803126998245716,5.722464204758406,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5961070279792484,1.1828056698298852,0.688554468388691,1.3662414482138903,0.5722464204758406,1.1354610479483283
eval,0.0,1500,PointerNet:greedy_rollout,200,0.0,0.0,0.0,0.0,0.0,0.0,187.69489886168338,6.528499831042047,74.9690300536157,5.757627883432744,128.63216600031592,48.37023638862672,100,0.0,0.0,0.0,0.0,0.0,0.0,0.6528499831042047,1.29539600326752,0.5757627883432744,1.142438284678631,4.837023638862672,9.597704299079528
eval,0.05,1500,Attention:greedy_rollout,10,0.0,0.0,0.0,0.0,0.0,0.0,29.909133374290306,3.3829418984606816,2.4168460203358966,3.601618092841181,3.2541220041457564,0.7614118248191866,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3382941898460682,0.671249066089465,0.3601618092841181,0.7146391672675845,0.07614118248191866,0.15108062498853897
eval,0.05,1500,Attention:greedy_rollout,20,0.0,0.0,0.0,0.0,0.0,0.0,40.97349369805622,3.8365210826747678,6.724822714964133,5.124980075330569,4.791544998297468,0.9640227140098695,100,0.0,0.0,0.0,0.0,0.0,0.0,0.38365210826747675,0.7612490167063718,0.512498007533057,1.0169072341615162,0.09640227140098695,0.191283021077779
eval,0.05,1500,Attention:greedy_rollout,50,0.0,0.0,0.0,0.0,0.0,0.0,68.06353200718087,4.985193884798547,20.204809119929976,5.950155163317812,10.52186099870596,2.078728323943553,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4985193884798547,0.98917062127747,0.5950155163317812,1.1806398739162116,0.20787283239435528,0.412464797795003
eval,0.05,1500,Attention:greedy_rollout,100,0.0,0.0,0.0,0.0,0.0,0.0,105.62325631593458,4.889671839494729,35.788784881172504,5.696145521229685,18.972482998506166,3.093146886193346,100,0.0,0.0,0.0,0.0,0.0,0.0,0.48896718394947286,0.9702169751240083,0.5696145521229685,1.1302388501484202,0.30931468861933464,0.6137474485091137
eval,0.05,1500,Attention:greedy_rollout,200,0.0,0.0,0.0,0.0,0.0,0.0,165.53757243646302,5.0024996952587575,54.322186256524716,4.615631373689616,38.12295900541358,5.356882568617529,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5002499695258757,0.9926044695249446,0.4615631373689616,0.9158414013590244,0.5356882568617529,1.0629217199892276
eval,0.05,1500,POMO,10,0.0,0.0,0.0,0.0,0.0,0.0,29.287452863553618,3.157564569871543,0.2926982753097671,1.0132917510406707,5.173379006446339,1.163352191612033,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3157564569871543,0.6265293145022338,0.10132917510406707,0.20105906692388145,0.1163352191612033,0.23083431391713732
eval,0.05,1500,POMO,20,0.0,0.0,0.0,0.0,0.0,0.0,39.02838907861442,3.0162207118357074,1.6966431786299054,1.8607380946380794,10.802037001703866,1.6389969423949686,100,0.0,0.0,0.0,0.0,0.0,0.0,0.30162207118357076,0.5984836265915997,0.18607380946380794,0.36921080696988445,0.16389969423949685,0.32521255165709967
eval,0.05,1500,POMO,50,0.0,0.0,0.0,0.0,0.0,0.0,62.35440225865668,3.3414717956033133,10.196492804748914,3.97036811926315,44.611552000860684,7.669311237691169,100,0.0,0.0,0.0,0.0,0.0,0.0,0.33414717956033135,0.6630204979824251,0.397036811926315,0.7878071725971589,0.766931123769117,1.5217577364222856
eval,0.05,1500,POMO,100,0.0,0.0,0.0,0.0,0.0,0.0,91.2091346335631,2.7042314225885713,17.28047936364681,3.4586438283211494,185.3545939992182,15.34551329073702,100,0.0,0.0,0.0,0.0,0.0,0.0,0.2704231422588571,0.5365781829502683,0.34586438283211496,0.6862699713385711,1.534551329073702,3.0448827601082185
eval,0.05,1500,POMO,200,0.0,0.0,0.0,0.0,0.0,0.0,132.8559164852442,3.348146350886829,23.842395454311614,2.5236631046523796,1097.3131710017333,109.67759289218539,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3348146350886829,0.6643448745561584,0.25236631046523794,0.5007495112148282,10.967759289218538,21.762413901734245
eval,0.05,1500,PointerNet:greedy_rollout,10,0.0,0.0,0.0,0.0,0.0,0.0,31.895380302067473,4.246938187350512,9.189533421819677,8.426036939501746,4.7636520030209795,0.8968893638760118,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4246938187350512,0.8426846743350443,0.8426036939501745,1.6719085329397705,0.08968893638760118,0.1779623079430622
eval,0.05,1500,PointerNet:greedy_rollout,20,0.0,0.0,0.0,0.0,0.0,0.0,46.442167768866845,4.149588413882141,21.185224070034582,8.455450195639857,8.470294998260215,1.9028071866016742,100,0.0,0.0,0.0,0.0,0.0,0.0,0.41495884138821404,0.823368367260897,0.8455450195639858,1.6777447610826013,0.19028071866016744,0.37755822751075874
eval,0.05,1500,PointerNet:greedy_rollout,50,0.0,0.0,0.0,0.0,0.0,0.0,80.4436951497526,5.443129030974318,42.19626921822056,8.344829382388431,21.171942998771556,3.2500196037521047,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5443129030974319,1.0800348892508274,0.8344829382388431,1.6557951917982856,0.32500196037521045,0.6448743990500457
eval,0.05,1500,PointerNet:greedy_rollout,100,0.0,0.0,0.0,0.0,0.0,0.0,122.09180983843812,5.351606089164186,56.99718671140247,6.977961021786839,46.96260600176174,5.156396964666703,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5351606089164186,1.0618747519916665,0.6977961021786838,1.3845788546396294,0.5156396964666703,1.023141026599959
eval,0.05,1500,PointerNet:greedy_rollout,200,0.0,0.0,0.0,0.0,0.0,0.0,191.37200572434483,6.946737229941401,78.39644114884422,6.138621353408061,113.96323999564629,10.174146298469635,100,0.0,0.0,0.0,0.0,0.0,0.0,0.6946737229941401,1.3783833769326197,0.613862135340806,1.2180356548325446,1.0174146298469635,2.018771355255277
eval,0.2,1500,Attention:greedy_rollout,10,0.0,0.0,0.0,0.0,0.0,0.0,30.12748507911205,3.505772177214607,3.1593088495498693,4.480186139162977,2.911207997240126,0.6584227339601861,100,0.0,0.0,0.0,0.0,0.0,0.0,0.35057721772146067,0.6956212582156724,0.4480186139162977,0.8889661283241418,0.06584227339601861,0.1306453549982493
eval,0.2,1500,Attention:greedy_rollout,20,0.0,0.0,0.0,0.0,0.0,0.0,41.03179771972819,3.6907234648708718,6.939888630438883,5.7347869250461105,4.6626600017771125,0.8913333944201023,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3690723464870872,0.7323196062327645,0.573478692504611,1.1379061429966846,0.08913333944201023,0.17685988306541417
eval,0.2,1500,Attention:greedy_rollout,50,0.0,0.0,0.0,0.0,0.0,0.0,67.98596424353512,4.707777951516675,20.1433413987105,6.707626345909621,9.951342998538166,2.0883939325434535,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4707777951516675,0.9341252815338208,0.6707626345909621,1.3309385899940114,0.20883939325434536,0.41438266423806014
eval,0.2,1500,Attention:greedy_rollout,100,0.0,0.0,0.0,0.0,0.0,0.0,106.2694066264036,4.829802234826726,36.60535442714662,5.1986398927906805,18.855521001387388,2.8119521292225995,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4829802234826726,0.9583375466777709,0.5198639892790681,1.031522940006455,0.28119521292225996,0.5579523081634417
eval,0.2,1500,Attention:greedy_rollout,200,0.0,0.0,0.0,0.0,0.0,0.0,169.01420051904418,6.108089786009283,57.548530283946526,5.225401821418432,37.120990999392234,5.532149954728259,100,0.0,0.0,0.0,0.0,0.0,0.0,0.6108089786009283,1.211977529473666,0.5225401821418432,1.0368330872502798,0.5532149954728258,1.0976985718459802
eval,0.2,1500,POMO,10,0.0,0.0,0.0,0.0,0.0,0.0,29.278692963333004,3.1566875421715843,0.26234004197178346,0.7469969585621394,5.296351998695172,1.3082699824321593,100,0.0,0.0,0.0,0.0,0.0,0.0,0.31566875421715845,0.6263552931793138,0.07469969585621394,0.1482204027904426,0.13082699824321592,0.25958914762918567
eval,0.2,1500,POMO,20,0.0,0.0,0.0,0.0,0.0,0.0,39.016112690119684,3.007884864361776,1.6660833884568667,1.8076657591767393,10.863797998754308,2.2508455903256688,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3007884864361776,0.5968296136053031,0.18076657591767392,0.3586801042020298,0.22508455903256688,0.446616597555276
eval,0.2,1500,POMO,50,0.0,0.0,0.0,0.0,0.0,0.0,61.5199419504708,3.659790937533205,8.674089694338281,3.604301312881462,47.02648600097746,8.150964602959233,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3659790937533205,0.726181921723124,0.3604301312881462,0.7151715763364398,0.8150964602959233,1.617328213633895
eval,0.2,1500,POMO,100,0.0,0.0,0.0,0.0,0.0,0.0,90.33791172457735,2.721443082195565,16.144177954416417,2.868113048289461,199.83465400000568,40.77850771012822,100,0.0,0.0,0.0,0.0,0.0,0.0,0.2721443082195565,0.5399933496258477,0.2868113048289461,0.569095852925919,4.077850771012821,8.091340625566392
eval,0.2,1500,POMO,200,0.0,0.0,0.0,0.0,0.0,0.0,131.75287268607525,2.8829977116120022,22.822296876018378,2.4281868270563223,1069.8204220010666,134.82296240050448,100,0.0,0.0,0.0,0.0,0.0,0.0,0.2882997711612002,0.5720492930541276,0.24281868270563223,0.4818049463675237,13.482296240050449,26.751800744769877
eval,0.2,1500,PointerNet:greedy_rollout,10,0.0,0.0,0.0,0.0,0.0,0.0,33.030199767702605,4.311418959935228,13.192545105663447,9.561415835699469,15.949572004028596,5.477566875627186,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4311418959935228,0.8554790585359414,0.9561415835699469,1.8971923381618445,0.5477566875627187,1.0868681047641917
eval,0.2,1500,PointerNet:greedy_rollout,20,0.0,0.0,0.0,0.0,0.0,0.0,49.90717908438374,4.793250689995269,30.129453483054768,9.12797179982762,25.135732002090663,6.273642803672204,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4793250689995269,0.9510849271919303,0.912797179982762,1.8111876378111185,0.6273642803672204,1.2448268398756845
eval,0.2,1500,PointerNet:greedy_rollout,50,0.0,0.0,0.0,0.0,0.0,0.0,85.183851724422,4.501119171829037,50.621186217141,7.25659282001559,61.82438200165052,7.083756782813682,100,0.0,0.0,0.0,0.0,0.0,0.0,0.4501119171829037,0.8931196961503899,0.725659282001559,1.439865448367113,0.7083756782813682,1.4055710288823517
eval,0.2,1500,PointerNet:greedy_rollout,100,0.0,0.0,0.0,0.0,0.0,0.0,131.3267341069845,5.0184174834329855,68.86746358868432,6.475601433678951,137.2136159997899,11.160890986006882,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5018417483432985,0.9957629040375273,0.647560143367895,1.2848998135919703,1.1160890986006882,2.214562908837531
eval,0.2,1500,PointerNet:greedy_rollout,200,0.0,0.0,0.0,0.0,0.0,0.0,207.75250069662906,5.977430225085019,93.67590829159042,5.474365607644446,318.75199900357984,21.196099069382665,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5977430225085019,1.1860518379074054,0.5474365607644446,1.086232903744424,2.1196099069382663,4.2057659079326495
train,0.0,1,Attention:greedy_rollout,20,105.81393432617188,0.0,105.81393432617188,0.0,105.5655517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,1,POMO,20,87.28683471679688,0.0,87.28683471679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,1,PointerNet:greedy_rollout,20,101.18914031982422,0.0,101.18914031982422,0.0,102.6629638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,2,Attention:greedy_rollout,20,105.4391632080078,0.0,105.4391632080078,0.0,76.32261657714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,2,POMO,20,81.57406616210938,0.0,81.57406616210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
